"","logFC","logCPM","LR","PValue"
"ENSGMOG00000000062",-0.259793373442809,-0.71031625341886,0.331598444014288,0.564719378794071
"ENSGMOG00000000063",-0.421612694203195,0.610134631116854,1.01704628275021,0.313220665199772
"ENSGMOG00000000064",-0.0109933788794992,2.23092525195031,0.000217645947371281,0.988229372922067
"ENSGMOG00000000065",0.0959490682951265,4.50608076886156,0.110331482170073,0.739767063266093
"ENSGMOG00000000066",-2.45022338830264,-4.36618780048016,3.46685226370685,0.0626103479905772
"ENSGMOG00000000067",0.295172773198318,-0.5863149893593,0.288418832323415,0.591235565811622
"ENSGMOG00000000068",-0.257601614802026,1.73566746551205,0.588634270909246,0.44294772413719
"ENSGMOG00000000069",0.159086458793959,6.62339221707957,0.362919797705956,0.546889109405059
"ENSGMOG00000000070",0.0632653718004272,4.50362873969391,0.0784531638768999,0.779404682493668
"ENSGMOG00000000071",-0.0301658635813762,6.47703687948969,0.0129447934396154,0.909416007834428
"ENSGMOG00000000072",0.0145636653774163,-0.19777845003142,0.00188904025259418,0.965332386067723
"ENSGMOG00000000073",0.219082465164656,3.31133804433147,0.406894134602796,0.523550144355457
"ENSGMOG00000000074",0.0632353031844027,1.54968618349008,0.0427355138933088,0.836224087392123
"ENSGMOG00000000075",-0.0313087445604186,6.66359547746676,0.020625703842768,0.885803297502704
"ENSGMOG00000000076",-0.339746181239168,0.938636933364496,1.60114076252789,0.20574162295643
"ENSGMOG00000000077",0.0838511467908429,3.423354534043,0.0778084366225968,0.780289614790073
"ENSGMOG00000000079",-2.22855177361804,-4.38027572251464,2.98497361410931,0.084040657034637
"ENSGMOG00000000080",-0.151208145886691,-0.0901720473872993,0.202078820762768,0.653048088376746
"ENSGMOG00000000081",0.0963489069654618,1.79077062380441,0.107913340310333,0.742532389728358
"ENSGMOG00000000082",-0.105347405424793,5.2044133880446,0.10665516921236,0.743984793283692
"ENSGMOG00000000083",0.0525180078573103,3.35229405543869,0.0331444456993353,0.85553865228919
"ENSGMOG00000000084",-0.422700006657236,3.08442341801359,1.10046652030833,0.294163745401829
"ENSGMOG00000000085",0.0635139225619417,2.63323847057019,0.0555283876716262,0.813708445308691
"ENSGMOG00000000086",0.121407085644756,0.213919212313696,0.0543374300096273,0.815680723534776
"ENSGMOG00000000087",-0.015025822235765,7.6610297711634,0.00162938918651889,0.967801580816169
"ENSGMOG00000000088",-0.103475370064934,1.89667623205282,0.136030674816282,0.712259387598078
"ENSGMOG00000000089",-0.156394555192555,2.05592933640767,0.123320895052021,0.725460253211012
"ENSGMOG00000000090",0.217429508669782,3.67460817887501,0.363067762581148,0.546807395491421
"ENSGMOG00000000091",0.0925036215246224,5.77450751689116,0.156238353736104,0.692643654973993
"ENSGMOG00000000092",0.158800183812455,3.162706611068,0.237701046623335,0.625871492985267
"ENSGMOG00000000093",-0.0158625101337718,3.92273703060889,0.001791656979929,0.966237249032754
"ENSGMOG00000000094",-0.539687416552236,-1.47890598526623,0.817262249232289,0.365981837669839
"ENSGMOG00000000095",-0.178587509307383,5.26818594245279,0.294640230417199,0.587262191273529
"ENSGMOG00000000096",0.0518598720388641,2.48140676998441,0.0214277001737653,0.883619808527303
"ENSGMOG00000000097",0.0560994061058761,10.7094328732551,0.0165495238920812,0.897638594593879
"ENSGMOG00000000098",-0.131589646447604,0.821152682990091,0.191200645405015,0.661919203900512
"ENSGMOG00000000099",-0.106179424744675,2.52001865436549,0.157010429252979,0.691923990671761
"ENSGMOG00000000100",0.0348785328174117,3.25447496728018,0.0181170582678689,0.892928440414025
"ENSGMOG00000000101",-0.122901328009055,2.98573490290414,0.219944967078535,0.639081853892007
"ENSGMOG00000000103",0.695003803328979,-3.89483946597934,0.444121394439657,0.505139912258048
